Name,Title,Id,Listing URL,Price,Qualifier,City,Beds,Baths,Bedrooms,Average Rating,Number of Reviews,Cleaning Fee,Airbnb Service Fee,Total Charged for Stay,Early Bird Discount,Can Instant Book,Cleanliness Rating,Original Price,Discounted Price,Accessibility Label,Main Message,Listing Type,Room Type Category,Latitude,Longitude,Locale,More Details,Date Scraped,Total Nights (Search Input),Check-in Date (Search Input),Check-out Date (Search Input),# of Adults (Search Input),Search Query,Subtitle,Guests (Premium Data),Data as Of (Premium Data),Data Start Date (for 30 Day Intervals) (Premium Data),% Booked 1st 30 Days (Premium Data),% Booked Days 31-60 (Premium Data),% Booked Days 61-90 (Premium Data),Data Start Date (for Months) (Premium Data),Month 1 (Premium Data),% Booked in Month 1 (Premium Data),Month 2 (Premium Data),% Booked in Month 2 (Premium Data),Month 3 (Premium Data),% Booked in Month 3 (Premium Data),Data Start Date (for Reviews) (Premium Data),Past Year's # of Reviews (Premium Data)
"Modern Oasis: guest suite with pvt entrance","Home in New York City","968158472503477954","https://www.airbnb.com/rooms/968158472503477954","$249","per night","","3","1","1","5","5","","","","","No","","","","$249 per night","3 beds","REGULAR","entire_home",40.710553240577696,-73.85582380862701,"en","Guest favorite","May 5, 24","5","","","","New York City, NY","","","","","","","","","","","","","","","",""
"Upper East Side 1 Bedroom PRIME location","Apartment in New York","800175630360727966","https://www.airbnb.com/rooms/800175630360727966","$450","per night","","","2","1","4.94","17","","","","","No","","","","$450 per night","","REGULAR","entire_home",40.77093833373133,-73.96279146385565,"en","Guest favorite","May 5, 24","5","","","","New York City, NY","","","","","","","","","","","","","","","",""
"Mulzac's Modern Brooklyn Retreat","Apartment in Brooklyn","942107749155144577","https://www.airbnb.com/rooms/942107749155144577","$285","per night","","2","2","2","5","44","","","","","No","","","","$285 per night","2 queen beds","REGULAR","entire_home",40.68443,-73.9223,"en","Guest favorite","May 5, 24","5","","","","New York City, NY","","","","","","","","","","","","","","","",""
"Private, Beautiful Brownstone Guest Suite.","Home in Brooklyn","28834703","https://www.airbnb.com/rooms/28834703","$330","per night","","1","1","1","4.94","442","","","","","No","4.9","","","$330 per night","1 queen bed","REGULAR","entire_home",40.68168507421499,-73.94341945556042,"en","Guest favorite","May 5, 24","5","","","","New York City, NY","","","","","","","","","","","","","","","",""
"Luxury Apt - Time Square.!","Apartment in New York","52754889","https://www.airbnb.com/rooms/52754889","$374","per night","","2","1","1","4.86","137","","","","","No","4.8","$505","$374","$374 per night, originally $505","2 beds","REGULAR","entire_home",40.76099,-73.99762,"en","Superhost","May 5, 24","5","","","","New York City, NY","","","","","","","","","","","","","","","",""
"Sunny, cozy room in Brooklyn.","Room in Brooklyn","13788132","https://www.airbnb.com/rooms/13788132","$83","per night","","1","1","1","4.91","399","","","","","No","","","","$83 per night","","REGULAR","private_room",40.69602,-73.96182,"en","Guest favorite","May 5, 24","5","","","","New York City, NY","","","","","","","","","","","","","","","",""
"Room 1. Victorian Home to Enjoy!","Room in Brooklyn","10280549","https://www.airbnb.com/rooms/10280549","$109","per night","","1","1","1","4.93","318","","","","","No","4.9","$123","$109","$109 per night, originally $123","","REGULAR","private_room",40.64319,-73.96105,"en","Guest favorite","May 5, 24","5","","","","New York City, NY","","","","","","","","","","","","","","","",""
"Spacious 1BR Apt ~ 20min to NYC! + Free Parking","Apartment in Jersey City","1059183404214853780","https://www.airbnb.com/rooms/1059183404214853780","$140","per night","","","1","1","","","","","","","No","","","","$140 per night","","REGULAR","entire_home",40.73048354486476,-74.0726972042678,"en","","May 5, 24","5","","","","New York City, NY","","","","","","","","","","","","","","","",""
"Stay near Times Square in NYC!","Apartment in New York","1128348809406074738","https://www.airbnb.com/rooms/1128348809406074738","$235","per night","","2","1","1","5","3","","","","","No","","","","$235 per night","2 beds","REGULAR","entire_home",40.75647,-73.98767,"en","","May 5, 24","5","","","","New York City, NY","","","","","","","","","","","","","","","",""
"Charming","Room in New York","37879131","https://www.airbnb.com/rooms/37879131","$114","per night","","1","1","1","4.92","178","","","","","No","","","","$114 per night","","REGULAR","private_room",40.80562317909974,-73.9481598438038,"en","Guest favorite","May 5, 24","5","","","","New York City, NY","","","","","","","","","","","","","","","",""
