Name,Title,Id,Listing URL,Price,Qualifier,City,Beds,Baths,Bedrooms,Average Rating,Number of Reviews,Cleaning Fee,Airbnb Service Fee,Total Charged for Stay,Early Bird Discount,Can Instant Book,Cleanliness Rating,Original Price,Discounted Price,Accessibility Label,Main Message,Listing Type,Room Type Category,Latitude,Longitude,Locale,More Details,Date Scraped,Total Nights (Search Input),Check-in Date (Search Input),Check-out Date (Search Input),# of Adults (Search Input),Search Query,Subtitle,Guests (Premium Data),Data as Of (Premium Data),Data Start Date (for 30 Day Intervals) (Premium Data),% Booked 1st 30 Days (Premium Data),% Booked Days 31-60 (Premium Data),% Booked Days 61-90 (Premium Data),Data Start Date (for Months) (Premium Data),Month 1 (Premium Data),% Booked in Month 1 (Premium Data),Month 2 (Premium Data),% Booked in Month 2 (Premium Data),Month 3 (Premium Data),% Booked in Month 3 (Premium Data),Data Start Date (for Reviews) (Premium Data),Past Year's # of Reviews (Premium Data)
"Adorable studio, cozy & newly renovated","Guest suite in Brooklyn","572530913771194520","https://www.airbnb.com/rooms/572530913771194520","$160","per night","","","1","1","4.99","102","","","","","No","","","","$160 per night","","REGULAR","entire_home",40.655579,-73.931503,"en","Superhost","May 5, 24","5","","","","New York City, NY","","","","","","","","","","","","","","","",""
"Lovely Hastings home convenient to NYC.","Apartment in Hastings-on-Hudson","737092688453422358","https://www.airbnb.com/rooms/737092688453422358","$99","per night","","2","1","1","4.82","123","","","","","No","4.9","","","$99 per night","2 beds","REGULAR","entire_home",40.99117,-73.88328,"en","Superhost","May 5, 24","5","","","","New York City, NY","","","","","","","","","","","","","","","",""
"New - Boho Chic- 15 Min from City- Private Parking","Place to stay in New York City","875223366460944377","https://www.airbnb.com/rooms/875223366460944377","$287","per night","","2","1","2","4.95","44","","","","","No","4.9","","","$287 per night","2 queen beds","REGULAR","private_room",40.73856,-73.92821,"en","Guest favorite","May 5, 24","5","","","","New York City, NY","","","","","","","","","","","","","","","",""
"Great looking studio unit in original Brownstone","Apartment in New York","602757253749505221","https://www.airbnb.com/rooms/602757253749505221","$116","per night","","2","1","","4.57","95","","","","","No","4.6","$135","$116","$116 per night, originally $135","2 queen beds","REGULAR","entire_home",40.80847,-73.94726,"en","","May 5, 24","5","","","","New York City, NY","","","","","","","","","","","","","","","",""
"Cozy Studio in Gramercy park","Apartment in New York","42815488","https://www.airbnb.com/rooms/42815488","$128","per night","","2","1","1","4.57","208","","","","","No","4.5","","","$128 per night","2 double beds","REGULAR","entire_home",40.733535939025984,-73.99016218384963,"en","","May 5, 24","5","","","","New York City, NY","","","","","","","","","","","","","","","",""
"Luxury&Style Center of NYC","Apartment in New York","812525039857019552","https://www.airbnb.com/rooms/812525039857019552","$245","per night","","2","1","1","4.85","72","","","","","No","4.9","","","$245 per night","2 beds","REGULAR","entire_home",40.749081072635285,-73.99676682040018,"en","Guest favorite","May 5, 24","5","","","","New York City, NY","","","","","","","","","","","","","","","",""
"Vintage Brownstone Studio","Apartment in New York","967417239150226565","https://www.airbnb.com/rooms/967417239150226565","$179","per night","","2","1","1","4.79","43","","","","","No","4.7","","","$179 per night","2 beds","REGULAR","entire_home",40.80812421728106,-73.95485532883608,"en","Superhost","May 5, 24","5","","","","New York City, NY","","","","","","","","","","","","","","","",""
"Spectacular views near World Trade Center","Apartment in New York","1067485803917467012","https://www.airbnb.com/rooms/1067485803917467012","$300","per night","","1","1","1","4.49","47","","","","","No","4.6","$353","$300","$300 per night, originally $353","1 king bed","REPRESENTATIVE","entire_home",40.71205,-74.01139,"en","","May 5, 24","5","","","","New York City, NY","","","","","","","","","","","","","","","",""
"Cozy spot for you in the heart of Manhattan!","Apartment in New York","648733914773975406","https://www.airbnb.com/rooms/648733914773975406","$138","per night","","2","1","1","4.65","71","","","","","No","4.7","","","$138 per night","2 beds","REGULAR","entire_home",40.73442,-73.98623,"en","","May 5, 24","5","","","","New York City, NY","","","","","","","","","","","","","","","",""
"The heart of HK Manhattan","Apartment in New York","47890017","https://www.airbnb.com/rooms/47890017","$264","per night","","2","1","1","4.95","40","","","","","No","4.9","","","$264 per night","2 double beds","REGULAR","entire_home",40.76498,-73.98767,"en","Superhost","May 5, 24","5","","","","New York City, NY","","","","","","","","","","","","","","","",""
"Cozy Times Square studio flat","Apartment in New York","768829390747981746","https://www.airbnb.com/rooms/768829390747981746","$181","per night","","1","1","","4.88","40","","","","","No","4.6","","","$181 per night","1 queen bed","REGULAR","entire_home",40.76375,-73.99304,"en","Guest favorite","May 5, 24","5","","","","New York City, NY","","","","","","","","","","","","","","","",""
"King's Haven at Time Square South: No Cleaning Fee","Apartment in New York","1010503905929192028","https://www.airbnb.com/rooms/1010503905929192028","$273","per night","","1","1","1","4.56","202","","","","","No","4.6","","","$273 per night","1 king bed","REPRESENTATIVE","entire_home",40.75724,-73.99236,"en","","May 5, 24","5","","","","New York City, NY","","","","","","","","","","","","","","","",""
"Classic Brownstone, a Private Studio Apartment","Apartment in New York","15858847","https://www.airbnb.com/rooms/15858847","$188","per night","","2","1","","4.61","278","","","","","No","4.6","","","$188 per night","2 beds","REGULAR","entire_home",40.80816,-73.95487,"en","","May 5, 24","5","","","","New York City, NY","","","","","","","","","","","","","","","",""
"Double the Comfort, No Cleaning Fee","Apartment in New York","804582918613581571","https://www.airbnb.com/rooms/804582918613581571","$265","per night","","2","1","1","4.28","109","","","","","No","4.3","$295","$265","$265 per night, originally $295","2 double beds","REPRESENTATIVE","entire_home",40.75652,-73.99408,"en","","May 5, 24","5","","","","New York City, NY","","","","","","","","","","","","","","","",""
"Historic Brownstone, Your Private Studio Apartment","Apartment in New York","40335341","https://www.airbnb.com/rooms/40335341","$188","per night","","2","1","","4.7","163","","","","","No","4.7","","","$188 per night","2 beds","REGULAR","entire_home",40.80815887451172,-73.95484161376953,"en","Superhost","May 5, 24","5","","","","New York City, NY","","","","","","","","","","","","","","","",""
"Empire Building NYC Apartment.","Apartment in New York","992758163619203613","https://www.airbnb.com/rooms/992758163619203613","$250","per night","","1","1","1","4.55","20","","","","","No","4.8","","","$250 per night","1 bed","REGULAR","entire_home",40.7474578755837,-73.98298209081119,"en","","May 5, 24","5","","","","New York City, NY","","","","","","","","","","","","","","","",""
"King Bed and Holiday Inn Express Times Square","Apartment in New York","887888251157143883","https://www.airbnb.com/rooms/887888251157143883","$220","per night","","1","1","1","4.3","287","","","","","No","4.5","$244","$220","$220 per night, originally $244","1 king bed","REPRESENTATIVE","entire_home",40.75572,-73.99188,"en","","May 5, 24","5","","","","New York City, NY","","","","","","","","","","","","","","","",""
"Manhattan Small Single Room","Room in New York","1003603678526992890","https://www.airbnb.com/rooms/1003603678526992890","$100","per night","","1","1","1","4.6","10","","","","","No","4.6","","","$100 per night","","REGULAR","private_room",40.7766,-73.9551,"en","","May 5, 24","5","","","","New York City, NY","","","","","","","","","","","","","","","",""
"Stylish Studio in UES! Perfectly Comfy for 3!","Apartment in New York","1131740434878769516","https://www.airbnb.com/rooms/1131740434878769516","$242","per night","","1","1","1","","","","","","","No","","","","$242 per night","1 double bed","REGULAR","entire_home",40.77406284333756,-73.95958072382305,"en","Superhost","May 5, 24","5","","","","New York City, NY","","","","","","","","","","","","","","","",""
"Cozy Double Room in Times Square","Apartment in New York","1116114825500098394","https://www.airbnb.com/rooms/1116114825500098394","$190","per night","","2","1","1","","","","","","","No","","$271","$190","$190 per night, originally $271","2 double beds","REPRESENTATIVE","entire_home",40.758428178478944,-73.98437738866443,"en","","May 5, 24","5","","","","New York City, NY","","","","","","","","","","","","","","","",""
"Lamartine Chelsea 1B","Hostel in New York","49088129","https://www.airbnb.com/rooms/49088129","$77","per night","","1","","1","4","5","","","","","No","","","","$77 per night","1 bed","REPRESENTATIVE","private_room",40.75043,-73.99526,"en","Superhost","May 5, 24","5","","","","New York City, NY","","","","","","","","","","","","","","","",""
"Guest Room with 1 King Bed at Chelsea","Apartment in New York","817402844618103366","https://www.airbnb.com/rooms/817402844618103366","$256","per night","","1","1","1","4.42","60","","","","","No","4.7","$283","$256","$256 per night, originally $283","1 king bed","REPRESENTATIVE","entire_home",40.74466624887437,-73.99213367636322,"en","","May 5, 24","5","","","","New York City, NY","","","","","","","","","","","","","","","",""
"1 large RM+private BR /central NJ /Rutgers/NYC","Room in Piscataway Township","17989639","https://www.airbnb.com/rooms/17989639","$46","per night","","1","1","1","4.8","51","","","","","No","","","","$46 per night","","REGULAR","private_room",40.54233,-74.40827,"en","","May 5, 24","5","","","","New York City, NY","","","","","","","","","","","","","","","",""
"Shared male room top bunk","Shared room in Yonkers","965789528403821731","https://www.airbnb.com/rooms/965789528403821731","$25","per night","","3","1","1","4.5","14","","","","","No","","$33","$25","$25 per night, originally $33","3 beds","REGULAR","shared_room",40.916280743674484,-73.89988917566687,"en","","May 5, 24","5","","","","New York City, NY","","","","","","","","","","","","","","","",""
"Garden Guest Suite: 1 BR & 1 Pvt Bathroom","Room in Brooklyn","45527090","https://www.airbnb.com/rooms/45527090","$160","per night","","1","1","1","4.98","194","","","","","No","","","","$160 per night","","REGULAR","private_room",40.66673,-73.98563,"en","Guest favorite","May 5, 24","5","","","","New York City, NY","","","","","","","","","","","","","","","",""
"Comfort and Charm in Harlem Brownstone near Subway","Room in New York","3247291","https://www.airbnb.com/rooms/3247291","$118","per night","","1","1","1","4.98","235","","","","","No","","","","$118 per night","","REGULAR","private_room",40.81355,-73.94335,"en","Guest favorite","May 5, 24","5","","","","New York City, NY","","","","","","","","","","","","","","","",""
"Very Comfy, Airy and Spacious, TV In Every Room!","Place to stay in Brooklyn","48721300","https://www.airbnb.com/rooms/48721300","$170","per night","","3","1","2","4.98","121","","","","","No","","","","$170 per night","3 beds","REGULAR","private_room",40.64993,-74.00849,"en","Guest favorite","May 5, 24","5","","","","New York City, NY","","","","","","","","","","","","","","","",""
"Cozy Upper West Side Room.","Room in New York","898755613660028115","https://www.airbnb.com/rooms/898755613660028115","$170","per night","","1","1","1","5","43","","","","","No","","","","$170 per night","","REGULAR","private_room",40.7997631,-73.9696417,"en","Guest favorite","May 5, 24","5","","","","New York City, NY","","","","","","","","","","","","","","","",""
"Lovely 1 bedroom suite with cozy bed near JFK","Guest suite in New York City","661147139425587430","https://www.airbnb.com/rooms/661147139425587430","$104","per night","","1","1","1","4.98","217","","","","","No","","","","$104 per night","1 queen bed","REGULAR","private_room",40.6818969,-73.7998724,"en","Guest favorite","May 5, 24","5","","","","New York City, NY","","","","","","","","","","","","","","","",""
"Stylish Downtown Hideaway in the heart of town-1BR","Apartment in Hoboken","50211955","https://www.airbnb.com/rooms/50211955","$191","per night","","1","1","1","4.99","149","","","","","No","","","","$191 per night","1 bed","REGULAR","entire_home",40.74005,-74.03077,"en","Guest favorite","May 5, 24","5","","","","New York City, NY","","","","","","","","","","","","","","","",""
"Garden Studio Minutes to Lower Manhattan","Apartment in Jersey City","21596787","https://www.airbnb.com/rooms/21596787","$126","per night","","1","1","1","4.96","282","","","","","No","","","","$126 per night","1 queen bed","REGULAR","entire_home",40.71318,-74.03949,"en","Guest favorite","May 5, 24","5","","","","New York City, NY","","","","","","","","","","","","","","","",""
"Fantastic location : Spacious Room  w/ Bathroom","Room in Brooklyn ","6237443","https://www.airbnb.com/rooms/6237443","$104","per night","","1","2","1","4.91","375","","","","","No","","","","$104 per night","","REGULAR","private_room",40.67422,-73.96759,"en","Guest favorite","May 5, 24","5","","","","New York City, NY","","","","","","","","","","","","","","","",""
"Astoria's Casa Oasis (Perfect for Families!)","Room in New York City","50643599","https://www.airbnb.com/rooms/50643599","$192","per night","","1","1","1","4.98","137","","","","","No","","$226","$192","$192 per night, originally $226","","REGULAR","private_room",40.77054,-73.90586,"en","Guest favorite","May 5, 24","5","","","","New York City, NY","","","","","","","","","","","","","","","",""
"Sunlit Room 15 Mins From Manhattan and LaGuardia!","Room in New York City","662468221101298052","https://www.airbnb.com/rooms/662468221101298052","$115","per night","","1","1","1","4.99","77","","","","","No","4.9","","","$115 per night","","REGULAR","private_room",40.76028,-73.93271,"en","Guest favorite","May 5, 24","5","","","","New York City, NY","","","","","","","","","","","","","","","",""
"East Village Guest Suite","Room in New York","29148293","https://www.airbnb.com/rooms/29148293","$235","per night","","","","","4.96","92","","","","","No","","","","$235 per night","","REGULAR","private_room",40.72927,-73.98584,"en","Guest favorite","May 5, 24","5","","","","New York City, NY","","","","","","","","","","","","","","","",""
"97-1BL Private BR mins 2 NYC Manhattan Time SQ W/D","Room in Jersey City","802813338037036914","https://www.airbnb.com/rooms/802813338037036914","$49","per night","","1","1","1","5","5","","","","","No","4.8","","","$49 per night","","REGULAR","private_room",40.74698,-74.04762,"en","","May 5, 24","5","","","","New York City, NY","","","","","","","","","","","","","","","",""
"Studio-like Beautiful Private Room!","Room in New York City","21838230","https://www.airbnb.com/rooms/21838230","$85","per night","","","1","","4.92","76","","","","","No","","","","$85 per night","","REGULAR","private_room",40.78153,-73.90774,"en","Guest favorite","May 5, 24","5","","","","New York City, NY","","","","","","","","","","","","","","","",""
"Lovely brownstone apartment close to NYC","Apartment in Jersey City","54104214","https://www.airbnb.com/rooms/54104214","$204","per night","","2","1","1","4.94","93","","","","","No","","","","$204 per night","2 beds","REGULAR","entire_home",40.71892,-74.05012,"en","Guest favorite","May 5, 24","5","","","","New York City, NY","","","","","","","","","","","","","","","",""
"Spacious 1BR | 1 Stop from Manhattan","Apartment in Hoboken","617395266075836862","https://www.airbnb.com/rooms/617395266075836862","$171","per night","","1","1","1","4.95","86","","","","","No","","","","$171 per night","1 bed","REGULAR","entire_home",40.74062,-74.03324,"en","Guest favorite","May 5, 24","5","","","","New York City, NY","","","","","","","","","","","","","","","",""
"Lovely Room near Williamsburg","Room in Brooklyn","1140656170513294047","https://www.airbnb.com/rooms/1140656170513294047","$90","per night","","1","","1","","","","","","","No","","","","$90 per night","","REGULAR","private_room",40.6980503969753,-73.94356628688588,"en","","May 5, 24","5","","","","New York City, NY","","","","","","","","","","","","","","","",""
"Historic District: Enchanting, quiet & peaceful","Home in Brooklyn","18838040","https://www.airbnb.com/rooms/18838040","$279","per night","","1","2","2","5","31","","","","","No","4.9","","","$279 per night","1 queen bed","REGULAR","entire_home",40.729033869669706,-73.95468567860756,"en","Guest favorite","May 5, 24","5","","","","New York City, NY","","","","","","","","","","","","","","","",""
"Gramercy One Bedroom + Private roof deck!","Apartment in New York","1120253913488763205","https://www.airbnb.com/rooms/1120253913488763205","$300","per night","","2","1","1","5","7","","","","","No","","","","$300 per night","2 beds","REGULAR","entire_home",40.74039170211669,-73.98075014165227,"en","Guest favorite","May 5, 24","5","","","","New York City, NY","","","","","","","","","","","","","","","",""
"Victorian Brownstone Private 1BR, 15 minute to NYC","Apartment in Hoboken","28562689","https://www.airbnb.com/rooms/28562689","$225","per night","","2","1","1","4.99","193","","","","","No","","","","$225 per night","2 beds","REGULAR","entire_home",40.74822,-74.02836,"en","Guest favorite","May 5, 24","5","","","","New York City, NY","","","","","","","","","","","","","","","",""
"New! Cozy & Chic, Chelsea High Line Studio","Condo in New York","808386228706904148","https://www.airbnb.com/rooms/808386228706904148","$314","per night","","","1","1","4.97","59","","","","","No","","","","$314 per night","","REGULAR","entire_home",40.744716956861964,-74.00578256884059,"en","Guest favorite","May 5, 24","5","","","","New York City, NY","","","","","","","","","","","","","","","",""
"Sunny, cozy room in Central Brooklyn","Room in Brooklyn","1104349873802426432","https://www.airbnb.com/rooms/1104349873802426432","$80","per night","","","1","1","5","7","","","","","No","","","","$80 per night","","REGULAR","private_room",40.64371551049821,-73.95813256198159,"en","Guest favorite","May 5, 24","5","","","","New York City, NY","","","","","","","","","","","","","","","",""
"Luxury home with free parking near JFK Airport","Guest suite in Brooklyn","705960660317173546","https://www.airbnb.com/rooms/705960660317173546","$236","per night","","","1","1","5","123","","","","","No","","","","$236 per night","","REGULAR","entire_home",40.6484658,-73.9174968,"en","Guest favorite","May 5, 24","5","","","","New York City, NY","","","","","","","","","","","","","","","",""
"Blacksmith Bldg Guesthouse  Upscale in downtown.","Loft in Yonkers","6844330","https://www.airbnb.com/rooms/6844330","$193","per night","","3","1","1","4.94","284","","","","","No","","","","$193 per night","3 beds","REGULAR","entire_home",40.93561,-73.8998,"en","Guest favorite","May 5, 24","5","","","","New York City, NY","","","","","","","","","","","","","","","",""
"Spacious and Serene East Williamsburg Guest Suite","Guest suite in Brooklyn","50288808","https://www.airbnb.com/rooms/50288808","$210","per night","","1","1","1","4.96","141","","","","","No","4.9","","","$210 per night","1 king bed","REGULAR","private_room",40.71603,-73.93923,"en","Guest favorite","May 5, 24","5","","","","New York City, NY","","","","","","","","","","","","","","","",""
"Cozy Bedroom in Queens, NYC","Room in New York City","1079110643206381992","https://www.airbnb.com/rooms/1079110643206381992","$75","per night","","1","1","1","5","22","","","","","No","","","","$75 per night","","REGULAR","private_room",40.699721580826754,-73.83369477832899,"en","Guest favorite","May 5, 24","5","","","","New York City, NY","","","","","","","","","","","","","","","",""
"Large, first floor space, w/king bed, private bath","Room in Brooklyn","700000812390093269","https://www.airbnb.com/rooms/700000812390093269","$215","per night","","1","","1","5","51","","","","","No","","","","$215 per night","","REGULAR","private_room",40.658355,-73.975646,"en","Guest favorite","May 5, 24","5","","","","New York City, NY","","","","","","","","","","","","","","","",""
"YONKERS CLOSE TO MANHATTAN # 1","Room in Yonkers","49275172","https://www.airbnb.com/rooms/49275172","$60","per night","","1","1","1","5","65","","","","","No","","","","$60 per night","","REGULAR","private_room",40.92567,-73.89542,"en","Guest favorite","May 5, 24","5","","","","New York City, NY","","","","","","","","","","","","","","","",""
"Conefrey's.","Home in Yonkers","24700474","https://www.airbnb.com/rooms/24700474","$117","per night","","1","1","1","4.96","231","","","","","No","","","","$117 per night","1 queen bed","REGULAR","entire_home",40.92089,-73.84968,"pt","Guest favorite","May 5, 24","5","","","","New York City, NY","","","","","","","","","","","","","","","",""
"NOMAH ( North of Manhattan Home)","Home in New Rochelle","851291276268665235","https://www.airbnb.com/rooms/851291276268665235","$147","per night","","1","1","1","5","32","","","","","No","","","","$147 per night","1 bed","REGULAR","entire_home",40.9193,-73.79234,"en","Guest favorite","May 5, 24","5","","","","New York City, NY","","","","","","","","","","","","","","","",""
"Unique Hell’s Kitchen Times Square Theater Apt!","Apartment in New York","775445064701195476","https://www.airbnb.com/rooms/775445064701195476","$392","per night","","1","1","1","4.95","81","","","","","No","","","","$392 per night","1 queen bed","REGULAR","entire_home",40.76321,-73.99002,"en","Guest favorite","May 5, 24","5","","","","New York City, NY","","","","","","","","","","","","","","","",""
"Private Suite | Bright, Modern, Spacious","Apartment in Woodbridge Township","47408033","https://www.airbnb.com/rooms/47408033","$99","per night","","3","1","1","4.97","147","","","","","No","","","","$99 per night","3 beds","REGULAR","entire_home",40.53843,-74.30803,"en","Guest favorite","May 5, 24","5","","","","New York City, NY","","","","","","","","","","","","","","","",""
"Private Bedroom & Bath w/ Patio | 2-Stops from NYC","Room in Jersey City","712120941049486236","https://www.airbnb.com/rooms/712120941049486236","$175","per night","","1","1","1","4.97","37","","","","","No","4.9","","","$175 per night","","REGULAR","private_room",40.71767,-74.04499,"en","Guest favorite","May 5, 24","5","","","","New York City, NY","","","","","","","","","","","","","","","",""
"20 Min to Manhattan | 98 Walk Score | Astoria, Qns","Home in New York City","613842278291796082","https://www.airbnb.com/rooms/613842278291796082","$214","per night","","2","1","1","4.93","91","","","","","No","4.9","$247","$214","$214 per night, originally $247","2 beds","REGULAR","entire_home",40.77305,-73.92177,"en","Guest favorite","May 5, 24","5","","","","New York City, NY","","","","","","","","","","","","","","","",""
"Downtown JC New 1 BR w/ Backyard","Apartment in Jersey City","50867099","https://www.airbnb.com/rooms/50867099","$183","per night","","2","1","1","5","20","","","","","No","","","","$183 per night","2 beds","REGULAR","entire_home",40.718517970368005,-74.04743568947369,"en","Guest favorite","May 5, 24","5","","","","New York City, NY","","","","","","","","","","","","","","","",""
"Decatur street Limestone an Urban Zen  experience","Apartment in New York","33061311","https://www.airbnb.com/rooms/33061311","$220","per night","","2","1","1","4.95","226","","","","","No","4.9","","","$220 per night","2 beds","REGULAR","entire_home",40.68272,-73.91957,"en","Guest favorite","May 5, 24","5","","","","New York City, NY","","","","","","","","","","","","","","","",""
"Big Sunny Room in Huge DUMBO Loft","Place to stay in Brooklyn","15772447","https://www.airbnb.com/rooms/15772447","$174","per night","","1","1","1","4.95","393","","","","","No","4.9","","","$174 per night","1 queen bed","REGULAR","private_room",40.70355,-73.98492,"en","Guest favorite","May 5, 24","5","","","","New York City, NY","","","","","","","","","","","","","","","",""
"Chic, private room & bath in classic townhouse","Room in Brooklyn","39487415","https://www.airbnb.com/rooms/39487415","$101","per night","","1","1","1","5","105","","","","","No","","","","$101 per night","","REGULAR","private_room",40.66171,-73.95699,"en","Guest favorite","May 5, 24","5","","","","New York City, NY","","","","","","","","","","","","","","","",""
"Private Room in Cozy Williamsburg Apartment","Room in Brooklyn","50574468","https://www.airbnb.com/rooms/50574468","$110","per night","","1","1","1","4.98","105","","","","","No","","","","$110 per night","","REGULAR","private_room",40.71598,-73.94023,"en","Guest favorite","May 5, 24","5","","","","New York City, NY","","","","","","","","","","","","","","","",""
"Sunny room, doorman building, cat lover's paradise","Room in New York","3512428","https://www.airbnb.com/rooms/3512428","$125","per night","","1","1","","4.95","226","","","","","No","4.9","","","$125 per night","","REGULAR","private_room",40.82828561241561,-73.95044223332316,"en","Guest favorite","May 5, 24","5","","","","New York City, NY","","","","","","","","","","","","","","","",""
"Margaret's Place | Steps from Prospect Park","Place to stay in Brooklyn","30662063","https://www.airbnb.com/rooms/30662063","$250","per night","","","1","","4.98","198","","","","","No","4.9","","","$250 per night","","REGULAR","private_room",40.67108,-73.97222,"en","Guest favorite","May 5, 24","5","","","","New York City, NY","","","","","","","","","","","","","","","",""
"Private bedroom & bath, 3rd floor walk-up","Room in New York City","600113695273260585","https://www.airbnb.com/rooms/600113695273260585","$113","per night","","1","1","1","5","33","","","","","No","4.9","$130","$113","$113 per night, originally $130","","REGULAR","private_room",40.70147852169589,-73.91166880228543,"en","Guest favorite","May 5, 24","5","","","","New York City, NY","","","","","","","","","","","","","","","",""
"Peaceful Parkside Residence NYC-King 1 Bedroom Apt","Apartment in New York","986777423260444075","https://www.airbnb.com/rooms/986777423260444075","$332","per night","","1","1","1","4.95","21","","","","","No","","","","$332 per night","1 king bed","REGULAR","entire_home",40.82179271978068,-73.95533308276987,"en","Guest favorite","May 5, 24","5","","","","New York City, NY","","","","","","","","","","","","","","","",""
"Bright & Airy Shared Designer Apartment!","Room in Brooklyn","52145241","https://www.airbnb.com/rooms/52145241","$140","per night","","1","1","1","5","27","","","","","No","","","","$140 per night","","REGULAR","private_room",40.672,-73.94715,"en","Guest favorite","May 5, 24","5","","","","New York City, NY","","","","","","","","","","","","","","","",""
"Brooklyn Getaway with work space","Apartment in Brooklyn","1071872500239300078","https://www.airbnb.com/rooms/1071872500239300078","$278","per night","","2","1","1","5","14","","","","","No","","$339","$278","$278 per night, originally $339","2 beds","REGULAR","entire_home",40.68571660409759,-73.9658289605778,"en","Guest favorite","May 5, 24","5","","","","New York City, NY","","","","","","","","","","","","","","","",""
"White Space Studio","Apartment in New York","31466176","https://www.airbnb.com/rooms/31466176","$118","per night","","","1","1","4.93","157","","","","","No","4.9","","","$118 per night","","REGULAR","entire_home",40.81325,-73.94841,"en","Guest favorite","May 5, 24","5","","","","New York City, NY","","","","","","","","","","","","","","","",""
"Lux 2B2B Penthouse Breathtaking Manhattan Views","Apartment in New York","1082650494601345408","https://www.airbnb.com/rooms/1082650494601345408","$517","per night","","2","2","2","5","10","","","","","No","","$749","$517","$517 per night, originally $749","2 beds","REGULAR","entire_home",40.71301953167998,-73.99156527343504,"en","Guest favorite","May 5, 24","5","","","","New York City, NY","","","","","","","","","","","","","","","",""
"Rm #1 Cozy Rm by Rutgers/Jersey Shore","Room in New Brunswick","4571169","https://www.airbnb.com/rooms/4571169","$45","per night","","1","1","1","4.89","684","","","","","No","4.9","","","$45 per night","","REGULAR","private_room",40.48701,-74.41115,"en","Guest favorite","May 5, 24","5","","","","New York City, NY","","","","","","","","","","","","","","","",""
"Master Bedroom with Full Bath & Manhattan View","Room in New York City","24996332","https://www.airbnb.com/rooms/24996332","$95","per night","","","1","","4.92","508","","","","","No","4.9","","","$95 per night","","REGULAR","private_room",40.758,-73.86991,"en","Guest favorite","May 5, 24","5","","","","New York City, NY","","","","","","","","","","","","","","","",""
"Buddha's Home Stay: A Tranquil Oasis Awaits""","Guest suite in Scotch Plains","783575697994095151","https://www.airbnb.com/rooms/783575697994095151","$125","per night","","2","1","1","4.94","77","","","","","No","4.9","","","$125 per night","2 beds","REGULAR","entire_home",40.62042599999999,-74.362664,"en","Guest favorite","May 5, 24","5","","","","New York City, NY","","","","","","","","","","","","","","","",""
"Newly Renovated Modern & Cozy Private Apartment","Apartment in Yonkers","45532589","https://www.airbnb.com/rooms/45532589","$189","per night","","1","1","1","5","134","","","","","No","","","","$189 per night","1 queen bed","REGULAR","entire_home",40.90688,-73.88112,"en","Guest favorite","May 5, 24","5","","","","New York City, NY","","","","","","","","","","","","","","","",""
"Vuitton Room! 1 Free Entry","Room in Brooklyn","995941212621416043","https://www.airbnb.com/rooms/995941212621416043","$120","per night","","1","2","1","5","52","","","","","No","4.9","$160","$120","$120 per night, originally $160","","REGULAR","private_room",40.68259,-73.94463,"en","Guest favorite","May 5, 24","5","","","","New York City, NY","","","","","","","","","","","","","","","",""
"Spacious room in fun, quiet house","Room in Brooklyn","5846745","https://www.airbnb.com/rooms/5846745","$135","per night","","1","","1","4.82","312","","","","","No","4.8","","","$135 per night","","REGULAR","private_room",40.67838407231255,-73.97578296454397,"en","Guest favorite","May 5, 24","5","","","","New York City, NY","","","","","","","","","","","","","","","",""
"Chic bedroom - 15 min from JFK","Room in Valley Stream","792130423041099673","https://www.airbnb.com/rooms/792130423041099673","$80","per night","","1","1","1","4.99","120","","","","","No","","","","$80 per night","","REGULAR","private_room",40.66709,-73.71152,"en","Guest favorite","May 5, 24","5","","","","New York City, NY","","","","","","","","","","","","","","","",""
"Bright Bushwick Homebase","Room in Brooklyn","962535551214838738","https://www.airbnb.com/rooms/962535551214838738","$98","per night","","","1","1","5","3","","","","","No","","","","$98 per night","","REGULAR","private_room",40.6906285123427,-73.91405756468349,"en","","May 5, 24","5","","","","New York City, NY","","","","","","","","","","","","","","","",""
"Beautiful Brooklyn space in Prospect Heights!","Home in Brooklyn","18753645","https://www.airbnb.com/rooms/18753645","$250","per night","","1","1","1","4.96","247","","","","","No","","","","$250 per night","1 queen bed","REGULAR","entire_home",40.68127020258486,-73.97006924227995,"en","Guest favorite","May 5, 24","5","","","","New York City, NY","","","","","","","","","","","","","","","",""
"Kingsize bedroom in Harlem brownstone","Room in New York","21862155","https://www.airbnb.com/rooms/21862155","$130","per night","","1","","1","4.9","365","","","","","No","","","","$130 per night","","REGULAR","private_room",40.81761,-73.94688,"en","Guest favorite","May 5, 24","5","","","","New York City, NY","","","","","","","","","","","","","","","",""
"Homey Private Room & Bath 7 mins to Manhattan","Room in Jersey City","826222251129505614","https://www.airbnb.com/rooms/826222251129505614","$136","per night","","1","1","1","5","33","","","","","No","","","","$136 per night","","REGULAR","private_room",40.72039751647367,-74.03837388102687,"en","Guest favorite","May 5, 24","5","","","","New York City, NY","","","","","","","","","","","","","","","",""
"Charming studio in heart of SoHo","Apartment in New York","968356497739578739","https://www.airbnb.com/rooms/968356497739578739","$417","per night","","","0","1","5","10","","","","","No","4.9","","","$417 per night","","REGULAR","entire_home",40.726500887879446,-74.00589303831433,"en","Guest favorite","May 5, 24","5","","","","New York City, NY","","","","","","","","","","","","","","","",""
